"Date","City","count"
"2021年8月31日","横浜市","541"
"2021年8月31日","市外(県内)","12"
"2021年8月31日","市外(県外)","1"
"2021年8月31日","市外(都内)","5"
"2021年8月30日","横浜市","838"
"2021年8月30日","市外(県内)","28"
"2021年8月30日","市外(県外)","2"
"2021年8月30日","市外(都内)","10"
"2021年8月29日","横浜市","909"
"2021年8月29日","市外(県内)","11"
"2021年8月29日","市外(県外)","2"
"2021年8月29日","市外(都内)","6"
"2021年8月28日","横浜市","942"
"2021年8月28日","市外(県内)","26"
"2021年8月28日","市外(県外)","0"
"2021年8月28日","市外(都内)","5"
"2021年8月27日","横浜市","1133"
"2021年8月27日","市外(県内)","22"
"2021年8月27日","市外(県外)","1"
"2021年8月27日","市外(都内)","9"
"2021年8月26日","横浜市","898"
"2021年8月26日","市外(県内)","28"
"2021年8月26日","市外(県外)","3"
"2021年8月26日","市外(都内)","7"
"2021年8月25日","横浜市","850"
"2021年8月25日","市外(県内)","29"
"2021年8月25日","市外(県外)","2"
"2021年8月25日","市外(都内)","5"
