"Date","City","count"
2021-10-26,"市外(県内)",0
2021-10-26,"市外(県外)",0
2021-10-26,"市外(都内)",0
2021-10-25,"横浜市",4
2021-10-25,"市外(県内)",1
2021-10-25,"市外(県外)",0
2021-10-25,"市外(都内)",0
2021-10-24,"横浜市",5
2021-10-24,"市外(県内)",0
2021-10-24,"市外(県外)",0
2021-10-24,"市外(都内)",0
2021-10-23,"横浜市",3
2021-10-23,"市外(県内)",0
2021-10-23,"市外(県外)",0
2021-10-23,"市外(都内)",0
2021-10-22,"横浜市",12
2021-10-22,"市外(県内)",1
2021-10-22,"市外(県外)",0
2021-10-22,"市外(都内)",0
2021-10-21,"横浜市",16
2021-10-21,"市外(県内)",1
2021-10-21,"市外(県外)",0
2021-10-21,"市外(都内)",0
2021-10-20,"横浜市",4
2021-10-20,"市外(県内)",0
2021-10-20,"市外(県外)",0
2021-10-20,"市外(都内)",0
2021-10-19,"横浜市",2
2021-10-19,"市外(県内)",0
2021-10-19,"市外(県外)",0
2021-10-19,"市外(都内)",0
2021-10-18,"横浜市",20
2021-10-18,"市外(県内)",0
2021-10-18,"市外(県外)",0
2021-10-18,"市外(都内)",0
2021-10-17,"横浜市",20
2021-10-17,"市外(県内)",0
2021-10-17,"市外(県外)",0
2021-10-17,"市外(都内)",0
2021-10-16,"横浜市",19
2021-10-16,"市外(県内)",3
2021-10-16,"市外(県外)",0
2021-10-16,"市外(都内)",0
2021-10-15,"横浜市",18
2021-10-15,"市外(県内)",0
2021-10-15,"市外(県外)",0
2021-10-15,"市外(都内)",1
2021-10-14,"横浜市",28
2021-10-14,"市外(県内)",2
2021-10-14,"市外(県外)",0
2021-10-14,"市外(都内)",0
2021-10-13,"横浜市",12
2021-10-13,"市外(県内)",0
2021-10-13,"市外(県外)",0
2021-10-13,"市外(都内)",0
2021-10-12,"横浜市",16
2021-10-12,"市外(県内)",1
2021-10-12,"市外(県外)",0
2021-10-12,"市外(都内)",0
2021-10-11,"横浜市",29
2021-10-11,"市外(県内)",0
2021-10-11,"市外(県外)",0
2021-10-11,"市外(都内)",3
2021-10-10,"横浜市",30
2021-10-10,"市外(県内)",2
2021-10-10,"市外(県外)",0
2021-10-10,"市外(都内)",0
2021-10-09,"横浜市",32
2021-10-09,"市外(県内)",0
2021-10-09,"市外(県外)",2
2021-10-09,"市外(都内)",0
2021-10-08,"横浜市",26
2021-10-08,"市外(県内)",2
2021-10-08,"市外(県外)",0
2021-10-08,"市外(都内)",1
2021-10-07,"横浜市",41
2021-10-07,"市外(県内)",3
2021-10-07,"市外(県外)",0
2021-10-07,"市外(都内)",1
2021-10-06,"横浜市",19
2021-10-06,"市外(県内)",0
2021-10-06,"市外(県外)",0
2021-10-06,"市外(都内)",0
2021-10-05,"横浜市",17
2021-10-05,"市外(県内)",1
2021-10-05,"市外(県外)",0
2021-10-05,"市外(都内)",2
2021-10-04,"横浜市",27
2021-10-04,"市外(県内)",1
2021-10-04,"市外(県外)",0
2021-10-04,"市外(都内)",0
2021-10-03,"横浜市",33
2021-10-03,"市外(県内)",1
2021-10-03,"市外(県外)",0
2021-10-03,"市外(都内)",0
2021-10-02,"横浜市",33
2021-10-02,"市外(県内)",1
2021-10-02,"市外(県外)",1
2021-10-02,"市外(都内)",2
2021-10-01,"横浜市",53
2021-10-01,"市外(県内)",1
2021-10-01,"市外(県外)",0
2021-10-01,"市外(都内)",0
2021-11-30,"横浜市",3
2021-11-30,"市外(県内)",0
2021-11-30,"市外(県外)",0
2021-11-30,"市外(都内)",1
2021-11-29,"横浜市",7
2021-11-29,"市外(県内)",0
2021-11-29,"市外(県外)",1
2021-11-29,"市外(都内)",0
2021-11-28,"横浜市",5
2021-11-28,"市外(県内)",0
2021-11-28,"市外(県外)",0
2021-11-28,"市外(都内)",0
2021-11-27,"横浜市",4
2021-11-27,"市外(県内)",0
2021-11-27,"市外(県外)",0
2021-11-27,"市外(都内)",0
2021-11-26,"横浜市",3
2021-11-26,"市外(県内)",0
2021-11-26,"市外(県外)",0
2021-11-26,"市外(都内)",0
2021-11-25,"横浜市",4
2021-11-25,"市外(県内)",0
2021-11-25,"市外(県外)",0
2021-11-25,"市外(都内)",0
2021-11-24,"横浜市",5
2021-11-24,"市外(県内)",0
2021-11-24,"市外(県外)",0
2021-11-24,"市外(都内)",0
2021-11-23,"横浜市",7
2021-11-23,"市外(県内)",0
2021-11-23,"市外(県外)",0
2021-11-23,"市外(都内)",0
2021-11-22,"横浜市",8
2021-11-22,"市外(県内)",0
2021-11-22,"市外(県外)",0
2021-11-22,"市外(都内)",0
2021-11-21,"横浜市",7
2021-11-21,"市外(県内)",0
2021-11-21,"市外(県外)",0
2021-11-21,"市外(都内)",1
2021-11-20,"横浜市",6
2021-11-20,"市外(県内)",0
2021-11-20,"市外(県外)",0
2021-11-20,"市外(都内)",0
2021-11-19,"横浜市",17
2021-11-19,"市外(県内)",0
2021-11-19,"市外(県外)",1
2021-11-19,"市外(都内)",0
2021-11-18,"横浜市",15
2021-11-18,"市外(県内)",1
2021-11-18,"市外(県外)",0
2021-11-18,"市外(都内)",0
2021-11-17,"横浜市",5
2021-11-17,"市外(県内)",2
2021-11-17,"市外(県外)",0
2021-11-17,"市外(都内)",0
2021-11-16,"横浜市",7
2021-11-16,"市外(県内)",0
2021-11-16,"市外(県外)",0
2021-11-16,"市外(都内)",0
2021-11-15,"横浜市",14
2021-11-15,"市外(県内)",0
2021-11-15,"市外(県外)",0
2021-11-15,"市外(都内)",0
2021-11-14,"横浜市",6
2021-11-14,"市外(県内)",0
2021-11-14,"市外(県外)",0
2021-11-14,"市外(都内)",0
2021-11-13,"横浜市",8
2021-11-13,"市外(県内)",0
2021-11-13,"市外(県外)",0
2021-11-13,"市外(都内)",0
2021-11-12,"横浜市",6
2021-11-12,"市外(県内)",1
2021-11-12,"市外(県外)",0
2021-11-12,"市外(都内)",0
2021-11-11,"横浜市",4
2021-11-11,"市外(県内)",1
2021-11-11,"市外(県外)",0
2021-11-11,"市外(都内)",0
2021-11-10,"横浜市",4
2021-11-10,"市外(県内)",0
2021-11-10,"市外(県外)",0
2021-11-10,"市外(都内)",0
2021-11-09,"横浜市",2
2021-11-09,"市外(県内)",0
2021-11-09,"市外(県外)",0
2021-11-09,"市外(都内)",0
2021-11-08,"横浜市",8
2021-11-08,"市外(県内)",1
2021-11-08,"市外(県外)",0
2021-11-08,"市外(都内)",0
2021-11-07,"横浜市",5
2021-11-07,"市外(県内)",0
2021-11-07,"市外(県外)",0
2021-11-07,"市外(都内)",0
2021-11-06,"横浜市",2
2021-11-06,"市外(県内)",0
2021-11-06,"市外(県外)",0
2021-11-06,"市外(都内)",0
2021-11-05,"横浜市",4
2021-11-05,"市外(県内)",0
2021-11-05,"市外(県外)",0
2021-11-05,"市外(都内)",0
2021-11-04,"横浜市",12
2021-11-04,"市外(県内)",0
2021-11-04,"市外(県外)",0
2021-11-04,"市外(都内)",0
2021-11-03,"横浜市",3
2021-11-03,"市外(県内)",0
2021-11-03,"市外(県外)",0
2021-11-03,"市外(都内)",0
2021-11-02,"横浜市",3
2021-11-02,"市外(県内)",0
2021-11-02,"市外(県外)",0
2021-11-02,"市外(都内)",0
2021-11-01,"横浜市",5
2021-11-01,"市外(県内)",0
2021-11-01,"市外(県外)",0
2021-11-01,"市外(都内)",0
2021-12-01,"横浜市",6
2021-12-01,"市外(県内)",1
2021-12-01,"市外(県外)",0
2021-12-01,"市外(都内)",0
