"Date","City","count"
"2021年11月30日","横浜市","3"
"2021年11月30日","市外(県内)","0"
"2021年11月30日","市外(県外)","0"
"2021年11月30日","市外(都内)","1"
"2021年11月29日","横浜市","7"
"2021年11月29日","市外(県内)","0"
"2021年11月29日","市外(県外)","1"
"2021年11月29日","市外(都内)","0"
"2021年11月28日","横浜市","5"
"2021年11月28日","市外(県内)","0"
"2021年11月28日","市外(県外)","0"
"2021年11月28日","市外(都内)","0"
"2021年11月27日","横浜市","4"
"2021年11月27日","市外(県内)","0"
"2021年11月27日","市外(県外)","0"
"2021年11月27日","市外(都内)","0"
"2021年11月26日","横浜市","3"
"2021年11月26日","市外(県内)","0"
"2021年11月26日","市外(県外)","0"
"2021年11月26日","市外(都内)","0"
"2021年11月25日","横浜市","4"
"2021年11月25日","市外(県内)","0"
"2021年11月25日","市外(県外)","0"
"2021年11月25日","市外(都内)","0"
"2021年11月24日","横浜市","5"
"2021年11月24日","市外(県内)","0"
"2021年11月24日","市外(県外)","0"
"2021年11月24日","市外(都内)","0"
"2021年11月23日","横浜市","7"
"2021年11月23日","市外(県内)","0"
"2021年11月23日","市外(県外)","0"
"2021年11月23日","市外(都内)","0"
"2021年11月22日","横浜市","8"
"2021年11月22日","市外(県内)","0"
"2021年11月22日","市外(県外)","0"
"2021年11月22日","市外(都内)","0"
"2021年11月21日","横浜市","7"
"2021年11月21日","市外(県内)","0"
"2021年11月21日","市外(県外)","0"
"2021年11月21日","市外(都内)","1"
"2021年11月20日","横浜市","6"
"2021年11月20日","市外(県内)","0"
"2021年11月20日","市外(県外)","0"
"2021年11月20日","市外(都内)","0"
"2021年11月19日","横浜市","17"
"2021年11月19日","市外(県内)","0"
"2021年11月19日","市外(県外)","1"
"2021年11月19日","市外(都内)","0"
"2021年11月18日","横浜市","15"
"2021年11月18日","市外(県内)","1"
"2021年11月18日","市外(県外)","0"
"2021年11月18日","市外(都内)","0"
"2021年11月17日","横浜市","5"
"2021年11月17日","市外(県内)","2"
"2021年11月17日","市外(県外)","0"
"2021年11月17日","市外(都内)","0"
"2021年11月16日","横浜市","7"
"2021年11月16日","市外(県内)","0"
"2021年11月16日","市外(県外)","0"
"2021年11月16日","市外(都内)","0"
"2021年11月15日","横浜市","14"
"2021年11月15日","市外(県内)","0"
"2021年11月15日","市外(県外)","0"
"2021年11月15日","市外(都内)","0"
"2021年11月14日","横浜市","6"
"2021年11月14日","市外(県内)","0"
"2021年11月14日","市外(県外)","0"
"2021年11月14日","市外(都内)","0"
"2021年11月13日","横浜市","8"
"2021年11月13日","市外(県内)","0"
"2021年11月13日","市外(県外)","0"
"2021年11月13日","市外(都内)","0"
"2021年11月12日","横浜市","6"
"2021年11月12日","市外(県内)","1"
"2021年11月12日","市外(県外)","0"
"2021年11月12日","市外(都内)","0"
"2021年11月11日","横浜市","4"
"2021年11月11日","市外(県内)","1"
"2021年11月11日","市外(県外)","0"
"2021年11月11日","市外(都内)","0"
"2021年11月10日","横浜市","4"
"2021年11月10日","市外(県内)","0"
"2021年11月10日","市外(県外)","0"
"2021年11月10日","市外(都内)","0"
"2021年11月9日","横浜市","2"
"2021年11月9日","市外(県内)","0"
"2021年11月9日","市外(県外)","0"
"2021年11月9日","市外(都内)","0"
"2021年11月8日","横浜市","8"
"2021年11月8日","市外(県内)","1"
"2021年11月8日","市外(県外)","0"
"2021年11月8日","市外(都内)","0"
"2021年11月7日","横浜市","5"
"2021年11月7日","市外(県内)","0"
"2021年11月7日","市外(県外)","0"
"2021年11月7日","市外(都内)","0"
"2021年11月6日","横浜市","2"
"2021年11月6日","市外(県内)","0"
"2021年11月6日","市外(県外)","0"
"2021年11月6日","市外(都内)","0"
"2021年11月5日","横浜市","4"
"2021年11月5日","市外(県内)","0"
"2021年11月5日","市外(県外)","0"
"2021年11月5日","市外(都内)","0"
"2021年11月4日","横浜市","12"
"2021年11月4日","市外(県内)","0"
"2021年11月4日","市外(県外)","0"
"2021年11月4日","市外(都内)","0"
"2021年11月3日","横浜市","3"
"2021年11月3日","市外(県内)","0"
"2021年11月3日","市外(県外)","0"
"2021年11月3日","市外(都内)","0"
"2021年11月2日","横浜市","3"
"2021年11月2日","市外(県内)","0"
"2021年11月2日","市外(県外)","0"
"2021年11月2日","市外(都内)","0"
"2021年11月1日","横浜市","5"
"2021年11月1日","市外(県内)","0"
"2021年11月1日","市外(県外)","0"
"2021年11月1日","市外(都内)","0"
