"Date","City","count"
"2021年9月30日","横浜市","48"
"2021年9月30日","市外(県内)","5"
"2021年9月30日","市外(県外)","0"
"2021年9月30日","市外(都内)","1"
"2021年9月29日","横浜市","29"
"2021年9月29日","市外(県内)","0"
"2021年9月29日","市外(県外)","0"
"2021年9月29日","市外(都内)","1"
"2021年9月28日","横浜市","37"
"2021年9月28日","市外(県内)","1"
"2021年9月28日","市外(県外)","0"
"2021年9月28日","市外(都内)","0"
"2021年9月27日","横浜市","64"
"2021年9月27日","市外(県内)","8"
"2021年9月27日","市外(県外)","0"
"2021年9月27日","市外(都内)","0"
"2021年9月26日","横浜市","58"
"2021年9月26日","市外(県内)","4"
"2021年9月26日","市外(県外)","1"
"2021年9月26日","市外(都内)","0"
"2021年9月25日","横浜市","69"
"2021年9月25日","市外(県内)","6"
"2021年9月25日","市外(県外)","1"
"2021年9月25日","市外(都内)","0"
"2021年9月23日","横浜市","52"
"2021年9月23日","市外(県内)","3"
"2021年9月23日","市外(県外)","1"
"2021年9月23日","市外(都内)","0"
"2021年9月22日","横浜市","38"
"2021年9月22日","市外(県内)","3"
"2021年9月22日","市外(県外)","1"
"2021年9月22日","市外(都内)","1"
"2021年9月21日","横浜市","80"
"2021年9月21日","市外(県内)","4"
"2021年9月21日","市外(県外)","0"
"2021年9月21日","市外(都内)","1"
"2021年9月20日","横浜市","146"
"2021年9月20日","市外(県内)","3"
"2021年9月20日","市外(県外)","1"
"2021年9月20日","市外(都内)","0"
"2021年9月19日","横浜市","169"
"2021年9月19日","市外(県内)","5"
"2021年9月19日","市外(県外)","1"
"2021年9月19日","市外(都内)","1"
"2021年9月18日","横浜市","182"
"2021年9月18日","市外(県内)","3"
"2021年9月18日","市外(県外)","0"
"2021年9月18日","市外(都内)","0"
"2021年9月17日","横浜市","218"
"2021年9月17日","市外(県内)","5"
"2021年9月17日","市外(県外)","1"
"2021年9月17日","市外(都内)","3"
"2021年9月16日","横浜市","193"
"2021年9月16日","市外(県内)","3"
"2021年9月16日","市外(県外)","2"
"2021年9月16日","市外(都内)","2"
"2021年9月15日","横浜市","155"
"2021年9月15日","市外(県内)","9"
"2021年9月15日","市外(県外)","1"
"2021年9月15日","市外(都内)","0"
"2021年9月14日","横浜市","186"
"2021年9月14日","市外(県内)","4"
"2021年9月14日","市外(県外)","1"
"2021年9月14日","市外(都内)","0"
"2021年9月13日","横浜市","262"
"2021年9月13日","市外(県内)","4"
"2021年9月13日","市外(県外)","4"
"2021年9月13日","市外(都内)","1"
"2021年9月12日","横浜市","244"
"2021年9月12日","市外(県内)","4"
"2021年9月12日","市外(県外)","5"
"2021年9月12日","市外(都内)","3"
"2021年9月11日","横浜市","330"
"2021年9月11日","市外(県内)","4"
"2021年9月11日","市外(県外)","2"
"2021年9月11日","市外(都内)","2"
"2021年9月10日","横浜市","352"
"2021年9月10日","市外(県内)","7"
"2021年9月10日","市外(県外)","1"
"2021年9月10日","市外(都内)","1"
"2021年9月9日","横浜市","293"
"2021年9月9日","市外(県内)","15"
"2021年9月9日","市外(県外)","1"
"2021年9月9日","市外(都内)","2"
"2021年9月8日","横浜市","369"
"2021年9月8日","市外(県内)","4"
"2021年9月8日","市外(県外)","2"
"2021年9月8日","市外(都内)","1"
"2021年9月7日","横浜市","219"
"2021年9月7日","市外(県内)","8"
"2021年9月7日","市外(県外)","1"
"2021年9月7日","市外(都内)","5"
"2021年9月6日","横浜市","472"
"2021年9月6日","市外(県内)","9"
"2021年9月6日","市外(県外)","2"
"2021年9月6日","市外(都内)","3"
"2021年9月5日","横浜市","569"
"2021年9月5日","市外(県内)","15"
"2021年9月5日","市外(県外)","4"
"2021年9月5日","市外(都内)","2"
"2021年9月4日","横浜市","725"
"2021年9月4日","市外(県内)","14"
"2021年9月4日","市外(県外)","0"
"2021年9月4日","市外(都内)","4"
"2021年9月3日","横浜市","823"
"2021年9月3日","市外(県内)","14"
"2021年9月3日","市外(県外)","1"
"2021年9月3日","市外(都内)","7"
"2021年9月2日","横浜市","603"
"2021年9月2日","市外(県内)","20"
"2021年9月2日","市外(県外)","3"
"2021年9月2日","市外(都内)","6"
"2021年9月1日","横浜市","678"
"2021年9月1日","市外(県内)","22"
"2021年9月1日","市外(県外)","1"
"2021年9月1日","市外(都内)","5"
"2021年9月24日","横浜市","93"
"2021年9月24日","市外(県内)","3"
"2021年9月24日","市外(県外)","0"
"2021年9月24日","市外(都内)","1"
