City,jinko
横浜市,3748781
鶴見区,292709
神奈川区,244838
西区,103761
中区,149598
南区,195677
港南区,213933
保土ケ谷区,205859
旭区,245169
磯子区,166410
金沢区,198593
港北区,353201
緑区,182115
青葉区,310156
都筑区,212437
戸塚区,280700
栄区,119604
泉区,151855
瀬谷区,122166

